run,instrument,rounds_used_for_session_stats,mu_session,sigma_session,threshold_session,mu_session_incl_round1,sigma_session_incl_round1,threshold_session_incl_round1,rounds_firing_running_threshold
run0_primary,PHQ-9,2-19,0.0213,0.0184,0.0581,0.0201,0.0186,0.0573,"11, 12, 17, 18, 19"
run0_primary,GAD-7,2-19,0.0735,0.0525,0.1786,0.0697,0.0537,0.177,14
run0_primary,CompACT-10,2-19,0.0263,0.0151,0.0565,0.0249,0.0158,0.0566,none
run1_comparison,PHQ-9,2-19,0.0257,0.0396,0.105,0.0244,0.039,0.1024,"17, 18, 19"
run1_comparison,GAD-7,2-19,0.0838,0.0494,0.1825,0.0794,0.0516,0.1825,13
run1_comparison,CompACT-10,2-19,0.0185,0.0131,0.0447,0.0176,0.0134,0.0444,none
run2_lightweight,PHQ-9,2-19,0.0514,0.0254,0.1023,0.0487,0.0273,0.1033,"12, 13, 16"
run2_lightweight,GAD-7,2-19,0.0398,0.031,0.1019,0.0377,0.0315,0.1007,"4, 11, 13, 14, 18"
run2_lightweight,CompACT-10,2-19,0.1085,0.0611,0.2306,0.1028,0.0642,0.2312,17
