run,instrument,round,w1,running_mu_through_prev,running_sigma_through_prev,threshold_mu_plus_2sigma,fired
run1_comparison,GAD-7,13,0.2478,0.0609,0.0262,0.1134,True
run1_comparison,GAD-7,14,0.042,0.0753,0.0558,0.1869,False
run1_comparison,GAD-7,15,0.0885,0.0729,0.0545,0.1819,False
run1_comparison,GAD-7,16,0.0327,0.074,0.0528,0.1795,False
run1_comparison,GAD-7,17,0.1232,0.0714,0.052,0.1755,False
run1_comparison,GAD-7,18,0.1024,0.0744,0.0519,0.1783,False
run1_comparison,GAD-7,19,0.1401,0.076,0.0509,0.1778,False
run1_comparison,CompACT-10,1,0.0,,,,False
run1_comparison,CompACT-10,2,0.05,0.0,,,False
run1_comparison,CompACT-10,3,0.0524,0.025,0.025,0.075,False
run1_comparison,CompACT-10,4,0.0112,0.0341,0.0242,0.0824,False
run1_comparison,CompACT-10,5,0.0195,0.0284,0.0232,0.0747,False
run1_comparison,CompACT-10,6,0.0075,0.0266,0.021,0.0686,False
run1_comparison,CompACT-10,7,0.017,0.0234,0.0205,0.0644,False
run1_comparison,CompACT-10,8,0.0136,0.0225,0.0191,0.0607,False
run1_comparison,CompACT-10,9,0.0085,0.0214,0.0181,0.0576,False
run1_comparison,CompACT-10,10,0.0076,0.02,0.0175,0.055,False
run1_comparison,CompACT-10,11,0.0116,0.0187,0.017,0.0528,False
run1_comparison,CompACT-10,12,0.0177,0.0181,0.0164,0.0508,False
run1_comparison,CompACT-10,13,0.0114,0.018,0.0157,0.0494,False
run1_comparison,CompACT-10,14,0.0081,0.0175,0.0152,0.0479,False
run1_comparison,CompACT-10,15,0.0105,0.0169,0.0148,0.0465,False
run1_comparison,CompACT-10,16,0.031,0.0164,0.0144,0.0452,False
run1_comparison,CompACT-10,17,0.0176,0.0173,0.0144,0.0461,False
run1_comparison,CompACT-10,18,0.0119,0.0174,0.014,0.0453,False
run1_comparison,CompACT-10,19,0.0263,0.0171,0.0136,0.0443,False
run2_lightweight,PHQ-9,1,0.0,,,,False
run2_lightweight,PHQ-9,2,0.0097,0.0,,,False
run2_lightweight,PHQ-9,3,0.0472,0.0049,0.0049,0.0146,False
run2_lightweight,PHQ-9,4,0.0344,0.019,0.0203,0.0597,False
run2_lightweight,PHQ-9,5,0.0396,0.0228,0.0188,0.0605,False
run2_lightweight,PHQ-9,6,0.038,0.0262,0.0181,0.0625,False
run2_lightweight,PHQ-9,7,0.0327,0.0282,0.0171,0.0625,False
run2_lightweight,PHQ-9,8,0.0352,0.0288,0.016,0.0607,False
run2_lightweight,PHQ-9,9,0.0446,0.0296,0.0151,0.0598,False
run2_lightweight,PHQ-9,10,0.0289,0.0313,0.015,0.0612,False
run2_lightweight,PHQ-9,11,0.0448,0.031,0.0142,0.0595,False
run2_lightweight,PHQ-9,12,0.0663,0.0323,0.0141,0.0605,True
run2_lightweight,PHQ-9,13,0.112,0.0351,0.0165,0.0681,True
run2_lightweight,PHQ-9,14,0.0392,0.041,0.0259,0.0928,False
run2_lightweight,PHQ-9,15,0.0311,0.0409,0.0249,0.0908,False
run2_lightweight,PHQ-9,16,0.0924,0.0403,0.0242,0.0887,True
run2_lightweight,PHQ-9,17,0.0699,0.0435,0.0266,0.0968,False
run2_lightweight,PHQ-9,18,0.0806,0.0451,0.0266,0.0982,False
run2_lightweight,PHQ-9,19,0.0786,0.047,0.0271,0.1012,False
run2_lightweight,GAD-7,1,0.0,,,,False
run2_lightweight,GAD-7,2,0.0162,0.0,,,False
run2_lightweight,GAD-7,3,0.0145,0.0081,0.0081,0.0243,False
run2_lightweight,GAD-7,4,0.0311,0.0102,0.0073,0.0248,True
run2_lightweight,GAD-7,5,0.0289,0.0154,0.011,0.0374,False
run2_lightweight,GAD-7,6,0.0259,0.0181,0.0112,0.0406,False
run2_lightweight,GAD-7,7,0.0123,0.0194,0.0106,0.0407,False
run2_lightweight,GAD-7,8,0.019,0.0184,0.0102,0.0388,False
run2_lightweight,GAD-7,9,0.0226,0.0185,0.0095,0.0375,False
run2_lightweight,GAD-7,10,0.0244,0.019,0.0091,0.0371,False
run2_lightweight,GAD-7,11,0.0429,0.0195,0.0087,0.037,True
run2_lightweight,GAD-7,12,0.0266,0.0216,0.0107,0.043,False
run2_lightweight,GAD-7,13,0.0796,0.022,0.0103,0.0427,True
run2_lightweight,GAD-7,14,0.1167,0.0265,0.0183,0.063,True
run2_lightweight,GAD-7,15,0.0161,0.0329,0.0292,0.0912,False
run2_lightweight,GAD-7,16,0.0398,0.0318,0.0285,0.0888,False
run2_lightweight,GAD-7,17,0.0177,0.0323,0.0276,0.0876,False
run2_lightweight,GAD-7,18,0.0893,0.0314,0.027,0.0855,True
run2_lightweight,GAD-7,19,0.0933,0.0347,0.0294,0.0935,False
run2_lightweight,CompACT-10,1,0.0,,,,False
run2_lightweight,CompACT-10,2,0.178,0.0,,,False
run2_lightweight,CompACT-10,3,0.1242,0.089,0.089,0.267,False
run2_lightweight,CompACT-10,4,0.1712,0.1007,0.0745,0.2498,False
run2_lightweight,CompACT-10,5,0.0358,0.1184,0.0714,0.2612,False
run2_lightweight,CompACT-10,6,0.066,0.1019,0.0719,0.2457,False
run2_lightweight,CompACT-10,7,0.176,0.0959,0.067,0.2298,False
run2_lightweight,CompACT-10,8,0.1361,0.1073,0.0681,0.2435,False
run2_lightweight,CompACT-10,9,0.0991,0.1109,0.0644,0.2397,False
run2_lightweight,CompACT-10,10,0.0681,0.1096,0.0608,0.2312,False
run2_lightweight,CompACT-10,11,0.0391,0.1055,0.059,0.2235,False
run2_lightweight,CompACT-10,12,0.1227,0.0994,0.0594,0.2183,False
run2_lightweight,CompACT-10,13,0.1215,0.1014,0.0572,0.2159,False
run2_lightweight,CompACT-10,14,0.0839,0.1029,0.0553,0.2134,False
run2_lightweight,CompACT-10,15,0.0563,0.1016,0.0535,0.2085,False
run2_lightweight,CompACT-10,16,0.0563,0.0985,0.0529,0.2043,False
run2_lightweight,CompACT-10,17,0.2696,0.0959,0.0522,0.2003,True
run2_lightweight,CompACT-10,18,0.1215,0.1061,0.0651,0.2363,False
run2_lightweight,CompACT-10,19,0.0269,0.107,0.0633,0.2337,False
